#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
20.707	329	20.733	636
20.759	311	20.784	651
20.809	295	20.834	663
20.860	290	20.886	669
20.910	292	20.936	668
20.961	297	20.987	658
21.011	308	21.037	648
21.063	325	21.088	630
21.113	346	21.138	604
21.164	374	21.190	577
21.214	401	21.240	553
21.265	429	21.291	525
21.316	456	21.341	502
21.367	479	21.392	479
21.417	500	21.443	460
21.468	515	21.494	445
21.518	526	21.544	437
21.570	528	21.595	436
21.620	524	21.645	441
21.671	516	21.697	452
21.721	501	21.747	466
21.772	481	21.798	485
21.822	457	21.848	512
21.874	432	21.899	537
21.924	404	21.949	565
21.975	376	22.001	591
22.025	351	22.051	614
22.076	329	22.102	635
22.127	314	22.152	649
22.178	301	22.203	661
22.228	293	22.254	665
22.279	294	22.305	663
22.329	300	22.355	655
22.381	312	22.406	641
22.431	331	22.456	623
22.482	351	22.508	600
22.532	376	22.558	575
22.583	402	22.609	552
22.633	430	22.659	522
22.685	456	22.710	499
22.735	478	22.760	478
22.786	500	22.812	461
22.836	514	22.862	447
22.887	523	22.913	441
22.938	523	22.963	439
22.989	523	23.014	446
23.039	513	23.065	456
23.090	499	23.116	472
23.140	477	23.166	493
23.192	455	23.217	517
23.242	428	23.267	545
23.293	401	23.319	568
23.343	374	23.369	594
23.394	350	23.420	619
23.445	329	23.470	635
23.496	312	23.521	650
23.546	303	23.571	657
23.597	296	23.623	661
23.647	297	23.673	658
23.698	302	23.724	649
23.749	315	23.774	637
23.800	331	23.825	618
23.850	356	23.876	596
23.901	379	23.927	572
23.951	408	23.977	545
24.003	432	24.028	520
24.053	457	24.078	497
24.104	480	24.130	476
24.154	498	24.180	462
24.205	512	24.231	450
24.256	521	24.281	443
24.307	525	24.332	444
24.357	519	24.382	451
24.408	506	24.434	463
24.458	492	24.484	479
24.509	473	24.535	499
24.560	450	24.585	522
24.611	426	24.636	546
24.662	398	24.687	572
24.712	372	24.738	596
24.763	349	24.788	617
24.814	329	24.839	634
24.865	313	24.889	650
24.915	303	24.941	654
24.966	298	24.991	659
25.016	300	25.042	654
25.068	307	25.092	645
25.118	320	25.143	630
25.169	338	25.193	613
25.219	358	25.245	591
25.270	383	25.295	567
25.320	411	25.346	542
25.372	434	25.396	519
25.422	458	25.447	495
25.473	480	25.498	476
25.523	498	25.549	462
25.574	511	25.599	451
25.625	517	25.650	447
25.676	520	25.700	447
25.726	515	25.752	453
25.777	504	25.802	467
25.827	489	25.853	483
25.879	469	25.903	503
25.929	444	25.954	527
25.980	418	26.005	552
26.030	396	26.056	576
26.081	371	26.106	598
26.131	347	26.157	619
26.183	329	26.207	635
26.233	315	26.258	646
26.284	305	26.309	654
26.334	301	26.360	652
26.385	303	26.410	649
26.436	311	26.461	641
26.487	324	26.511	626
26.537	341	26.563	607
26.588	364	26.613	585
26.638	385	26.664	562
26.690	411	26.714	537
26.740	436	26.765	515
26.791	460	26.816	494
26.841	479	26.867	477
26.892	496	26.917	463
26.942	509	26.968	453
26.994	515	27.018	453
27.044	516	27.069	452
27.095	511	27.120	461
27.145	501	27.171	473
27.196	485	27.221	489
27.247	466	27.272	509
27.298	444	27.322	532
27.348	418	27.374	555
27.399	394	27.424	578
27.449	372	27.475	599
27.501	348	27.525	619
27.551	331	27.576	634
27.602	316	27.627	643
27.652	307	27.678	651
27.703	303	27.729	651
27.753	307	27.779	643
27.805	314	27.830	633
27.855	326	27.880	620
27.906	345	27.932	601
27.956	366	27.982	580
28.007	389	28.033	558
28.058	410	28.083	535
28.109	439	28.134	513
