#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
43.416	491	43.442	560
43.467	488	43.492	572
43.517	483	43.543	580
43.569	472	43.593	589
43.619	459	43.644	598
43.670	443	43.695	597
43.720	426	43.746	600
43.771	408	43.796	598
43.822	391	43.847	594
43.873	375	43.897	588
43.923	360	43.949	579
43.974	350	43.999	570
44.024	341	44.050	559
44.076	335	44.100	547
44.126	334	44.151	535
44.177	339	44.201	525
44.227	347	44.253	514
44.278	357	44.304	510
44.328	370	44.354	503
44.380	385	44.405	497
44.430	402	44.455	497
44.481	419	44.507	498
44.531	435	44.557	506
44.582	452	44.608	512
44.633	463	44.658	522
44.684	474	44.709	533
44.734	479	44.760	546
44.785	481	44.811	559
44.835	482	44.861	570
44.887	475	44.912	581
44.937	469	44.962	594
44.988	459	45.014	599
45.038	446	45.064	599
45.089	433	45.115	607
45.139	415	45.165	607
45.191	399	45.216	602
45.241	385	45.266	595
45.292	371	45.318	587
45.342	360	45.368	577
45.393	353	45.419	564
45.444	348	45.469	552
45.495	345	45.520	538
45.545	346	45.571	526
45.596	352	45.622	516
45.646	360	45.672	505
45.698	370	45.723	501
45.748	383	45.773	494
45.799	396	45.825	490
45.849	412	45.875	492
45.900	426	45.926	498
45.950	440	45.976	505
46.002	452	46.027	515
46.052	463	46.077	526
46.103	469	46.129	541
46.153	471	46.179	553
46.204	473	46.230	565
46.255	470	46.280	580
46.306	464	46.331	590
46.356	456	46.382	599
46.407	445	46.433	605
46.457	433	46.483	611
46.509	420	46.534	609
46.559	406	46.584	610
46.610	393	46.636	603
46.660	380	46.686	594
46.711	373	46.737	584
46.761	363	46.787	571
46.813	359	46.838	558
46.863	354	46.888	543
46.914	355	46.940	529
46.964	358	46.990	517
47.015	364	47.041	505
47.066	373	47.091	496
47.117	383	47.142	490
47.167	394	47.193	486
47.218	407	47.244	488
47.268	419	47.294	492
47.320	431	47.345	498
47.370	441	47.395	508
47.421	451	47.447	520
47.471	459	47.497	533
47.522	461	47.548	547
47.573	462	47.598	563
47.624	462	47.649	576
47.674	458	47.699	590
47.725	452	47.751	598
47.775	445	47.801	609
47.826	435	47.852	613
47.877	424	47.902	619
47.928	413	47.953	617
47.978	402	48.004	608
48.029	392	48.055	601
48.079	380	48.105	591
48.131	375	48.156	577
48.181	368	48.206	563
48.232	367	48.258	548
48.282	365	48.308	534
48.333	367	48.359	519
48.384	370	48.409	507
48.435	377	48.460	493
48.485	385	48.510	489
48.536	394	48.562	485
48.586	404	48.612	483
48.637	414	48.663	488
48.688	423	48.713	492
48.739	433	48.764	501
48.790	440	48.815	513
48.840	446	48.866	527
48.891	450	48.916	541
48.942	455	48.967	557
48.993	454	49.017	573
49.043	450	49.069	587
49.094	447	49.119	598
49.144	442	49.170	608
49.196	434	49.220	614
49.246	425	49.271	620
49.297	416	49.321	616
49.347	408	49.373	615
49.398	398	49.423	606
49.448	391	49.474	596
49.500	385	49.524	585
49.550	380	49.575	570
49.601	375	49.626	554
49.651	375	49.677	538
49.702	375	49.727	525
49.753	377	49.778	509
49.804	381	49.828	497
49.854	387	49.880	488
49.905	394	49.930	485
49.955	402	49.981	484
50.007	409	50.031	484
50.057	417	50.082	486
50.108	425	50.133	497
50.158	431	50.184	508
50.209	436	50.234	522
50.259	438	50.285	536
50.311	442	50.335	552
50.361	443	50.386	568
50.412	442	50.437	582
50.462	439	50.488	595
50.513	436	50.538	607
50.564	431	50.589	614
50.615	425	50.639	619
50.665	419	50.691	621
50.716	412	50.741	617
50.766	406	50.792	610
50.818	399	50.842	601
50.868	396	50.893	590
50.919	392	50.944	575
50.969	388	50.995	560
51.020	386	51.045	544
51.070	385	51.096	528
51.122	385	51.146	515
51.172	389	51.197	500
51.223	394	51.248	490
51.273	397	51.299	484
51.324	400	51.349	483
51.375	407	51.400	483
51.426	412	51.450	487
51.476	417	51.502	492
51.527	421	51.552	503
51.577	426	51.603	515
51.629	430	51.653	530
51.679	431	51.704	547
51.730	430	51.755	562
51.780	433	51.806	577
51.831	431	51.857	591
51.881	426	51.907	602
51.933	427	51.958	610
51.983	423	52.008	619
52.034	419	52.060	621
52.084	415	52.110	620
52.135	412	52.161	614
52.186	407	52.211	606
52.237	402	52.262	595
52.287	399	52.313	580
52.338	397	52.364	565
52.388	396	52.414	549
52.440	395	52.465	534
52.490	396	52.515	519
52.541	398	52.567	505
52.591	399	52.617	495
52.642	401	52.668	487
52.693	404	52.718	481
52.744	407	52.769	478
52.794	410	52.819	483
52.845	412	52.871	488
52.895	415	52.921	499
52.946	418	52.972	510
52.997	420	53.022	525
53.048	420	53.073	540
53.098	420	53.124	555
53.149	424	53.175	571
53.199	422	53.225	587
53.251	421	53.276	599
53.301	420	53.326	608
53.352	419	53.378	614
53.402	418	53.428	617
53.453	416	53.479	618
53.504	414	53.529	618
53.555	411	53.580	607
53.605	411	53.630	597
53.656	409	53.682	586
53.706	408	53.732	571
53.757	408	53.783	556
53.808	405	53.833	540
53.859	407	53.884	525
53.909	405	53.935	511
53.960	406	53.986	499
54.010	406	54.036	490
54.062	407	54.087	485
54.112	408	54.137	482
54.163	409	54.189	483
54.213	410	54.239	489
54.264	411	54.290	496
54.315	411	54.340	507
54.366	412	54.391	520
54.416	411	54.441	536
54.467	411	54.493	550
54.517	412	54.543	565
54.568	414	54.594	581
54.619	415	54.644	593
54.670	412	54.695	603
54.720	414	54.746	613
54.771	414	54.797	616
54.821	414	54.847	619
54.873	414	54.898	615
54.923	414	54.948	608
54.974	416	55.000	599
55.024	416	55.050	588
55.075	415	55.101	575
55.126	416	55.151	561
55.177	415	55.202	544
55.227	415	55.253	530
