#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:51:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
34.647	494	34.673	463
34.699	492	34.724	457
34.749	494	34.774	450
34.800	494	34.826	444
34.850	494	34.876	440
34.901	493	34.927	429
34.952	493	34.977	427
35.003	493	35.028	425
35.053	493	35.079	418
35.104	493	35.130	415
35.154	493	35.180	416
35.206	493	35.231	417
35.256	493	35.281	420
35.307	494	35.333	423
35.357	494	35.383	428
35.408	494	35.434	433
35.458	493	35.484	440
35.510	493	35.535	444
35.560	493	35.585	451
35.611	493	35.637	458
35.661	493	35.687	462
35.712	493	35.738	465
35.763	494	35.788	470
35.814	493	35.839	471
35.864	493	35.890	472
35.915	493	35.941	471
35.965	490	35.991	469
36.017	493	36.042	466
36.067	493	36.092	461
36.118	494	36.144	456
36.168	494	36.194	450
36.219	493	36.245	442
36.269	493	36.295	439
36.321	492	36.346	434
36.371	493	36.396	428
36.422	493	36.448	424
36.472	493	36.498	422
36.523	493	36.549	421
36.574	493	36.599	420
36.625	493	36.650	421
36.675	496	36.701	423
36.726	492	36.752	426
36.776	493	36.802	430
36.828	493	36.853	436
36.878	493	36.903	440
36.929	493	36.955	446
36.979	493	37.005	452
37.030	493	37.056	457
37.080	494	37.106	461
37.132	493	37.157	465
37.182	493	37.207	467
37.233	493	37.259	468
37.283	491	37.309	469
37.334	493	37.360	468
37.385	494	37.410	465
37.436	494	37.461	462
37.487	493	37.512	458
37.537	493	37.563	454
37.588	492	37.613	447
37.639	493	37.664	445
37.690	494	37.714	439
37.740	493	37.766	435
37.791	494	37.816	430
37.841	492	37.867	427
37.893	493	37.917	424
37.943	491	37.968	423
37.994	494	38.018	424
38.044	494	38.070	425
38.095	492	38.120	423
38.145	493	38.171	429
38.197	493	38.221	435
38.247	494	38.272	437
38.298	494	38.323	441
38.348	493	38.374	451
38.399	495	38.424	452
38.450	492	38.475	456
38.501	492	38.525	460
38.551	492	38.577	463
38.602	492	38.627	465
38.652	493	38.678	466
38.704	495	38.728	465
38.754	494	38.779	466
