#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 11:16:27 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
19.694	470	19.720	535
19.745	470	19.771	495
19.795	471	19.821	457
19.847	470	19.872	422
19.897	469	19.922	389
19.948	470	19.974	366
19.998	470	20.024	348
20.049	470	20.075	338
20.100	470	20.125	337
20.151	469	20.176	345
20.201	470	20.226	360
20.252	470	20.278	383
20.302	471	20.328	411
20.353	470	20.379	445
20.404	471	20.429	481
20.455	470	20.480	519
20.505	471	20.531	553
20.556	470	20.582	590
20.606	470	20.632	618
20.658	471	20.683	645
20.708	470	20.733	660
20.759	471	20.785	669
20.809	469	20.835	671
20.860	471	20.886	663
20.911	470	20.936	647
20.962	469	20.987	625
21.012	469	21.038	594
21.063	469	21.089	564
21.113	470	21.139	527
21.164	471	21.190	491
21.215	470	21.240	455
21.266	471	21.291	421
21.317	470	21.342	390
21.367	470	21.393	368
21.418	470	21.443	351
21.469	470	21.494	342
21.520	469	21.544	342
21.570	469	21.596	350
21.621	472	21.646	366
21.671	470	21.697	388
21.723	469	21.747	416
21.773	469	21.798	450
21.824	470	21.849	486
21.874	471	21.900	519
21.925	470	21.950	558
21.975	470	22.001	592
22.027	471	22.051	620
22.077	471	22.102	645
22.128	471	22.153	656
22.178	470	22.204	666
22.229	470	22.254	667
22.280	470	22.305	657
22.331	469	22.355	643
22.381	471	22.407	619
22.432	470	22.457	591
22.482	470	22.508	559
22.534	469	22.558	523
22.584	470	22.609	489
22.635	472	22.660	453
22.685	473	22.711	418
22.736	470	22.761	390
22.786	470	22.812	367
22.838	471	22.862	354
22.888	470	22.913	348
22.939	470	22.964	347
22.989	471	23.015	355
23.040	471	23.065	372
23.091	466	23.116	393
23.142	471	23.166	423
23.192	473	23.218	453
23.243	472	23.268	489
23.293	471	23.319	526
23.345	471	23.369	559
23.395	471	23.420	587
23.446	470	23.471	620
23.496	471	23.522	640
23.547	471	23.572	654
23.598	471	23.623	661
23.649	470	23.673	661
23.699	470	23.724	652
23.750	470	23.775	636
23.800	469	23.826	614
23.851	470	23.876	586
23.902	469	23.927	553
23.953	470	23.977	522
24.003	471	24.029	485
24.054	470	24.079	452
24.104	470	24.130	419
24.156	470	24.180	395
24.206	471	24.231	372
24.257	471	24.282	355
24.307	470	24.333	352
24.358	470	24.384	351
24.409	471	24.434	359
24.460	471	24.485	377
24.510	470	24.535	400
