#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
24.764	306	24.788	404
24.814	326	24.839	436
24.865	352	24.890	473
24.915	377	24.941	510
24.966	408	24.991	548
25.016	434	25.042	582
25.068	459	25.092	613
25.118	484	25.143	638
25.169	504	25.194	656
25.219	518	25.245	668
25.270	528	25.295	667
25.321	531	25.346	665
25.372	527	25.396	651
25.422	518	25.448	632
25.473	502	25.498	603
25.523	483	25.549	572
25.575	458	25.599	537
25.625	433	25.650	499
25.676	402	25.701	464
25.726	375	25.752	429
25.777	348	25.802	400
25.828	325	25.853	375
25.879	304	25.903	358
25.929	290	25.954	349
25.980	281	26.005	346
26.030	278	26.056	351
26.081	281	26.106	367
26.132	290	26.157	389
26.183	307	26.207	416
26.233	327	26.259	447
26.284	350	26.309	482
26.334	379	26.360	518
26.386	401	26.410	553
26.436	433	26.461	585
26.487	459	26.512	614
26.537	482	26.563	639
26.588	503	26.614	655
26.639	519	26.664	661
26.690	527	26.715	664
26.740	531	26.765	654
26.791	527	26.817	643
26.841	518	26.867	621
26.892	503	26.918	594
26.943	482	26.968	562
26.994	459	27.019	530
27.044	431	27.070	493
27.095	404	27.121	457
27.145	376	27.171	427
27.197	349	27.222	399
27.247	325	27.272	379
27.298	306	27.324	362
27.348	290	27.374	353
27.399	283	27.425	353
27.450	279	27.475	361
27.501	282	27.526	377
27.551	292	27.576	398
27.602	307	27.628	425
27.652	328	27.678	458
27.703	349	27.729	490
27.754	378	27.779	525
27.805	405	27.830	558
27.855	432	27.881	586
27.906	459	27.932	612
27.956	483	27.982	635
28.008	503	28.033	649
28.058	517	28.083	654
28.109	527	28.135	654
28.159	529	28.185	648
28.210	527	28.236	631
28.261	518	28.286	611
28.312	503	28.337	584
28.362	483	28.388	554
28.413	459	28.439	521
28.463	432	28.489	488
28.514	406	28.540	456
28.565	376	28.590	426
28.616	349	28.641	399
28.666	326	28.692	381
28.717	307	28.743	367
28.767	290	28.793	360
28.819	282	28.844	361
28.869	278	28.894	371
28.920	281	28.946	386
28.970	293	28.996	409
29.021	306	29.047	434
29.072	325	29.097	464
29.123	349	29.148	498
29.173	377	29.199	529
29.224	405	29.250	561
29.274	434	29.300	585
29.325	460	29.351	613
29.376	483	29.401	631
29.427	505	29.452	641
29.477	518	29.503	649
29.528	528	29.554	647
29.578	531	29.604	639
29.630	529	29.655	623
29.680	518	29.705	601
29.731	503	29.757	576
29.781	483	29.807	547
29.832	458	29.858	514
29.883	432	29.908	485
29.934	403	29.959	453
29.984	377	30.010	428
30.035	348	30.061	401
30.085	324	30.111	385
30.136	304	30.162	374
30.187	288	30.212	369
30.238	281	30.263	371
30.288	278	30.314	380
30.339	284	30.365	396
30.389	292	30.415	417
30.441	307	30.466	443
30.491	326	30.516	471
30.542	351	30.568	502
30.592	378	30.618	533
30.643	407	30.669	561
30.694	435	30.719	590
30.745	461	30.770	609
30.795	486	30.821	626
30.846	506	30.872	637
30.896	520	30.922	641
30.948	530	30.973	638
30.998	531	31.023	629
31.049	527	31.074	613
31.099	519	31.125	595
31.150	503	31.176	569
31.200	481	31.226	540
31.252	456	31.277	512
31.302	429	31.327	482
31.353	401	31.379	451
31.403	373	31.429	428
31.454	346	31.480	408
31.505	322	31.530	390
31.556	302	31.581	382
31.606	289	31.632	377
31.657	281	31.683	380
31.707	281	31.733	389
31.759	282	31.784	405
31.809	293	31.834	426
31.860	309	31.885	450
